Trials: 100
expected 	actual	 difference
0	0	0
4	3	1
92	83	9
0	1	-1
85	85	0
37	46	-9
69	59	10
18	22	-4
0	2	-2
0	2	-2
72	71	1
71	71	0
57	70	-13
95	94	1
14	16	-2
68	71	-3
12	13	-1
3	6	-3
99	99	0
11	16	-5
80	79	1
6	4	2
82	85	-3
71	73	-2
0	0	0
92	95	-3
80	86	-6
12	13	-1
94	92	2
91	88	3
96	95	1
62	58	4
24	25	-1
84	86	-2
1	0	1
86	85	1
2	3	-1
58	54	4
72	71	1
82	74	8
85	77	8
6	5	1
17	14	3
58	62	-4
68	70	-2
34	39	-5
21	18	3
89	85	4
6	6	0
2	2	0
66	69	-3
52	62	-10
37	30	7
1	1	0
2	1	1
1	0	1
89	90	-1
30	20	10
48	41	7
87	88	-1
96	96	0
0	0	0
17	17	0
45	40	5
49	51	-2
1	0	1
54	47	7
60	66	-6
12	10	2
35	44	-9
31	37	-6
67	68	-1
Difference column mean: -0.055556
