Trials: 100
expected 	actual	 difference
93	91	2
9	10	-1
98	97	1
8	7	1
22	20	2
25	27	-2
0	0	0
25	23	2
0	0	0
93	90	3
15	11	4
40	46	-6
0	0	0
8	8	0
63	63	0
17	17	0
19	19	0
6	4	2
62	55	7
86	92	-6
73	78	-5
59	60	-1
14	20	-6
2	0	2
97	95	2
1	1	0
1	1	0
40	42	-2
19	21	-2
23	28	-5
78	78	0
27	29	-2
2	1	1
14	13	1
40	45	-5
88	88	0
96	97	-1
16	22	-6
100	100	0
98	95	3
49	48	1
11	10	1
99	99	0
50	58	-8
100	98	2
45	41	4
89	91	-2
14	6	8
69	77	-8
100	100	0
36	37	-1
90	88	2
39	39	0
51	56	-5
1	1	0
88	91	-3
31	21	10
80	85	-5
32	34	-2
0	0	0
83	87	-4
42	34	8
5	8	-3
100	100	0
3	4	-1
87	84	3
0	0	0
89	86	3
50	46	4
90	91	-1
41	42	-1
43	39	4
Difference column mean: -0.152778
