Trials: 100
expected 	actual	 difference
53	56	-3
92	90	2
91	86	5
34	34	0
8	12	-4
0	0	0
98	97	1
73	75	-2
65	67	-2
5	8	-3
23	28	-5
41	50	-9
88	88	0
92	91	1
12	14	-2
83	92	-9
28	23	5
51	45	6
98	93	5
18	16	2
14	14	0
42	41	1
22	22	0
4	4	0
4	6	-2
95	94	1
25	23	2
3	2	1
73	63	10
38	38	0
97	98	-1
69	65	4
11	6	5
94	97	-3
7	9	-2
89	92	-3
92	92	0
61	61	0
79	76	3
2	0	2
95	96	-1
39	42	-3
25	26	-1
56	64	-8
17	13	4
33	26	7
14	10	4
95	99	-4
16	10	6
39	37	2
96	94	2
97	94	3
95	94	1
90	96	-6
22	31	-9
7	9	-2
44	46	-2
9	9	0
99	100	-1
8	12	-4
69	63	6
74	75	-1
42	42	0
28	29	-1
63	56	7
32	32	0
27	25	2
61	64	-3
96	96	0
2	1	1
5	5	0
1	1	0
Difference column mean: 0.069444
