Trials: 100
expected 	actual	 difference
33	32	1
83	85	-2
14	18	-4
100	100	0
19	26	-7
2	2	0
14	19	-5
79	80	-1
51	51	0
94	92	2
4	2	2
42	38	4
14	18	-4
1	1	0
74	72	2
98	98	0
83	82	1
20	29	-9
86	84	2
0	0	0
99	98	1
86	87	-1
43	38	5
0	0	0
94	95	-1
49	54	-5
40	49	-9
3	1	2
89	94	-5
0	0	0
81	86	-5
70	68	2
20	14	6
11	13	-2
10	9	1
11	13	-2
100	100	0
98	98	0
10	8	2
71	72	-1
38	33	5
99	100	-1
6	4	2
94	97	-3
47	47	0
93	95	-2
98	98	0
96	97	-1
1	1	0
56	55	1
44	42	2
99	99	0
55	58	-3
20	19	1
14	11	3
6	6	0
100	100	0
51	56	-5
34	33	1
0	0	0
50	46	4
49	55	-6
29	36	-7
58	57	1
34	35	-1
25	22	3
29	37	-8
32	29	3
50	55	-5
96	96	0
81	86	-5
98	98	0
Difference column mean: -0.708333
